numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,0.1519346,-0.2700159,1,0,0,0.45,0,0,4,4,0.1113219,-0.1999674,0,0,True,0,-0.250199,-0.3932323,0,0,True,0,-0.1748689,0.3460762,0,0,True,0,0.004123213,-0.2257095,0,0,True,0,0,0,False,0,0,53.92
2,0.122631,-0.3047294,1,0,0,0.4502499,0,1,4,4,0.1113066,-0.199941,-0.0007649069,0.001319474,True,1,-0.2502005,-0.3932331,-7.740455E-05,-3.837853E-05,True,0,-0.17487,0.3460764,-4.893215E-05,6.211559E-06,True,0,0.004124759,-0.2257082,7.700601E-05,6.882261E-05,True,0,0,0,False,0,0,53.94
2,0.09332734,-0.339443,1,0,0.07594952,0.4405623,0,1,4,4,0.1113004,-0.1999235,-0.0008897854,0.002482564,True,1,-0.2502011,-0.3932333,-8.519576E-05,-2.707388E-05,True,0,-0.1748705,0.346076,-8.275301E-05,-5.548906E-05,True,0,0.004126338,-0.2257072,0.0002250661,0.000132214,True,0,0,0,False,0,0,53.96
2,0.1422297,-0.2815124,1,0,0.1825585,0.4016422,0,1,4,4,0.1112825,-0.1998772,-0.0009753916,0.002536867,True,0,-0.2502036,-0.3932344,-0.0001298108,-5.745489E-05,True,0,-0.1748725,0.3460737,-0.000104379,-0.0001239977,True,0,0.00413206,-0.2257047,0.0003128299,0.0001417483,True,0,0,0,False,0,0,53.98
2,0.1258797,-0.3008809,1,0,0.2579548,0.3481164,0,1,4,4,0.111253,-0.1998,-0.001476548,0.003859092,True,1,-0.2502083,-0.3932371,-0.0002351667,-0.0001327264,True,0,-0.174876,0.3460694,-0.0001752501,-0.0002166632,True,0,0.004138373,-0.2257003,0.0003154665,0.0002197473,True,0,0,0,False,0,0,54
2,0.1095297,-0.3202494,1,0,0.3196408,0.2783967,0,1,4,4,0.1112373,-0.1997519,-0.001648824,0.005053419,True,1,-0.2502114,-0.3932396,-0.0003233347,-0.0002611105,True,0,-0.1748784,0.346066,-0.0002558669,-0.0003581921,True,0,0.004141422,-0.2256973,0.0003204893,0.0003117281,True,0,0,0,False,0,0,54.02
2,0.1368807,-0.287849,1,0,0.358225,0.2064854,0,1,4,4,0.1112054,-0.1996502,-0.001598175,0.005086333,True,0,-0.2502212,-0.3932488,-0.0004854466,-0.0004603883,True,0,-0.1748857,0.3460563,-0.0003635415,-0.0004876745,True,0,0.004146794,-0.2256907,0.0002686874,0.0003338901,True,0,0,0,False,0,0,54.04
2,0.1642317,-0.2554485,1,0,0.3788138,0.1358892,0,1,4,4,0.1112038,-0.1996452,-0.001973708,0.006375839,True,1,-0.2502217,-0.3932494,-0.0005993113,-0.0006606237,True,0,-0.1748861,0.3460558,-0.0005064414,-0.0005979277,True,0,0.004146896,-0.2256904,0.0001338818,0.000385751,True,0,0,0,False,0,0,54.06
2,0.1185673,-0.3095433,1,0,0.3844675,0.07187424,0,1,4,4,0.1111422,-0.1994945,-0.003077938,0.007536175,True,1,-0.2502351,-0.3932673,-0.0006684965,-0.0008932441,True,0,-0.1748979,0.3460418,-0.0005868154,-0.0006986712,True,0,0.004145371,-0.2256822,-7.573413E-05,0.0004122751,True,0,0,0,False,0,0,54.08
2,0.07290295,-0.3636381,1,0,0.3794108,0.01666982,0,1,4,4,0.1110793,-0.1993215,-0.003151078,0.008649672,True,1,-0.2502509,-0.3932907,-0.0007905084,-0.001170831,True,0,-0.1749118,0.3460256,-0.0006974874,-0.0008091951,True,0,0.004138025,-0.2256746,-0.0003671466,0.0003761188,True,0,0,0,False,0,0,54.1
2,0.0272386,-0.4177329,1,0,0.3674624,-0.02899179,0,1,4,4,0.1110153,-0.1991493,-0.003200083,0.008609761,True,0,-0.2502679,-0.3933206,-0.0008484172,-0.001492192,True,0,-0.1749295,0.3460084,-0.000883273,-0.0008623155,True,0,0.004126189,-0.2256666,-0.0005919893,0.0004012088,True,0,0,0,False,0,0,54.12
2,0.1446679,-0.2467032,1,2,0.3517137,-0.06557115,0,2,4,4,0.1109514,-0.198977,-0.003195858,0.008615646,True,0,-0.2502871,-0.3933578,-0.0009632466,-0.001863836,True,0,-0.1749508,0.3459891,-0.001064564,-0.0009640055,True,0,0.00411118,-0.2256597,-0.0007505129,0.0003435473,True,0,0,0,False,0,0,54.14
2,0.06252678,-0.2817303,1,2,0.3310541,-0.1187135,0,2,4,4,0.110863,-0.1987701,-0.004415298,0.01034165,True,1,-0.25031,-0.3934017,-0.001143952,-0.002192633,True,0,-0.1749758,0.3459666,-0.001248007,-0.001124555,True,0,0.004094297,-0.2256525,-0.0008443628,0.0003608807,True,0,0,0,False,0,0,54.16
2,-0.01961432,-0.3167574,1,2,0.3093491,-0.1626823,0,2,4,4,0.1107878,-0.1985412,-0.003764787,0.0114475,True,1,-0.2503365,-0.3934517,-0.001324341,-0.002501542,True,0,-0.1750032,0.3459426,-0.001373009,-0.001202441,True,0,0.004055358,-0.2256241,-0.001944373,0.001416454,True,1,0,0,False,0,0,54.18
2,0.07812733,-0.2480363,1,2,0.2878984,-0.199894,0,2,4,4,0.110714,-0.1983121,-0.003689587,0.01145829,True,0,-0.2503667,-0.3935082,-0.001507026,-0.002826319,True,0,-0.175033,0.3459154,-0.001489828,-0.001357643,True,0,0.004023178,-0.2255704,-0.001612699,0.002684155,True,1,0,0,False,0,0,54.2
2,0.04588607,-0.2707047,1,2,0.2674079,-0.2319025,0,2,4,4,0.1106631,-0.1980481,-0.00255033,0.01319547,True,1,-0.2504007,-0.3935709,-0.0017004,-0.003135633,True,0,-0.1750651,0.3458848,-0.001602766,-0.001532265,True,0,0.003960289,-0.2255076,-0.003139632,0.003144945,True,1,0,0,False,0,0,54.22
2,0.01364481,-0.2933732,1,2,0.2480599,-0.2600006,0,2,4,4,0.1106289,-0.1977654,-0.001706491,0.01413572,True,1,-0.2504402,-0.3936389,-0.001975293,-0.003400668,True,0,-0.1750978,0.3458518,-0.001639343,-0.001649131,True,0,0.003870321,-0.2254153,-0.004498766,0.004612589,True,1,0,0,False,0,0,54.24
2,-0.01859644,-0.3160417,1,2,0.229786,-0.2851166,0,2,4,4,0.1105954,-0.1974818,-0.001675109,0.01418603,True,0,-0.250486,-0.3937137,-0.002291264,-0.003736429,True,0,-0.17513,0.3458152,-0.001607194,-0.001829318,True,0,0.003775341,-0.2252875,-0.004752141,0.006389436,True,1,0,0,False,0,0,54.26
2,-0.0508377,-0.3387102,1,2,0.2124133,-0.3078837,0,2,4,4,0.1105621,-0.1971971,-0.001663817,0.0142352,True,0,-0.2505371,-0.3937961,-0.002554805,-0.004118057,True,0,-0.1751618,0.345776,-0.001590732,-0.001960103,True,0,0.003686694,-0.2251341,-0.004433995,0.007667908,True,1,0,0,False,0,0,54.28
2,-0.08307897,-0.3613787,1,2,0.1957554,-0.3287115,0,2,4,4,0.1105277,-0.1969124,-0.001721664,0.01423557,True,0,-0.2505934,-0.3938878,-0.00281232,-0.004585517,True,0,-0.175194,0.3457327,-0.001609105,-0.00216596,True,0,0.003598306,-0.2249798,-0.004419497,0.007714487,True,0,0,0,False,0,0,54.3
2,0.09580468,-0.2356075,1,2,0.1796543,-0.347856,0,2,4,4,0.1104925,-0.1966264,-0.001757413,0.01430123,True,0,-0.2506551,-0.3939903,-0.003084282,-0.005125751,True,0,-0.1752256,0.3456857,-0.001582745,-0.002351012,True,0,0.003511267,-0.2248239,-0.004352211,0.007796991,True,0,0,0,False,0,0,54.32
2,0.2746883,-0.1098364,1,2,0.1639927,-0.365475,0,2,4,4,0.1104784,-0.1962848,-0.0007110985,0.01707019,True,1,-0.2507208,-0.3941047,-0.003286558,-0.005719043,True,0,-0.1752566,0.3456338,-0.001547803,-0.002592504,True,0,0.003397794,-0.2246649,-0.005670411,0.007948081,True,1,0,0,False,0,0,54.34
2,-0.002930433,-0.3050271,1,2,0.1486939,-0.3816681,0,2,4,4,0.1104641,-0.1959444,-0.0007177075,0.01702038,True,0,-0.250789,-0.394232,-0.003412864,-0.006364738,True,0,-0.1752855,0.3455762,-0.001442919,-0.002881553,True,0,0.003284944,-0.2245055,-0.005646287,0.007973874,True,0,0,0,False,0,0,54.36
2,-0.2805492,-0.5002178,1,2,0.1337141,-0.396503,0,2,4,4,0.1104511,-0.1956045,-0.00064966,0.01699654,True,0,-0.2508582,-0.3943714,-0.003458261,-0.006968064,True,1,-0.1753138,0.3455126,-0.001414674,-0.003180815,True,0,0.003174348,-0.2243155,-0.005530092,0.009498005,True,1,0,0,False,0,0,54.38
2,-0.5581679,-0.6954085,1,2,0.1190353,-0.4100322,0,2,4,4,0.1104382,-0.1952644,-0.0006459107,0.01700717,True,0,-0.2509213,-0.394489,-0.003155146,-0.005886332,True,0,-0.1753416,0.3454436,-0.001393604,-0.003448493,True,0,0.003063194,-0.2241244,-0.005557519,0.009558306,True,0,0,0,False,0,0,54.4
2,0.02049839,-0.2885545,1,2,0.1046572,-0.422303,0,2,4,4,0.1104259,-0.194923,-0.0006152845,0.01706989,True,0,-0.250986,-0.3946051,-0.003233201,-0.005800745,True,0,-0.1753691,0.3453701,-0.001373585,-0.003674386,True,0,0.002950968,-0.2239331,-0.005611486,0.00956184,True,0,0,0,False,0,0,54.42
2,0.06523223,-0.2557674,1,2,0.09059035,-0.4333629,0,2,4,4,0.1104149,-0.1945802,-0.0005485739,0.01714087,True,0,-0.2510526,-0.3947196,-0.003330714,-0.005727205,True,0,-0.1753946,0.3452912,-0.001275582,-0.003944462,True,0,0.002829049,-0.2237063,-0.006094764,0.01134036,True,1,0,0,False,0,0,54.44
2,0.1099661,-0.2229803,1,2,0.07685233,-0.4432624,0,2,4,4,0.1104233,-0.1942113,0.0004166864,0.01844008,True,1,-0.2511226,-0.3948317,-0.003498368,-0.005605767,True,0,-0.1754174,0.3452058,-0.001138903,-0.004268987,True,0,0.002675848,-0.2234636,-0.007657482,0.01213861,True,1,0,0,False,0,0,54.46
2,0.1546999,-0.1901931,1,2,0.06346349,-0.4520563,0,2,4,4,0.110433,-0.1937566,0.00048349,0.02272793,True,1,-0.251195,-0.3949403,-0.003619283,-0.005426496,True,0,-0.1754372,0.3451129,-0.0009919493,-0.004646165,True,0,0.00249983,-0.223221,-0.008802664,0.01212703,True,1,0,0,False,0,0,54.48
2,0.01660612,-0.2809458,1,2,0.05044454,-0.4598035,0,2,4,4,0.1103871,-0.1933071,-0.002287842,0.02248847,True,1,-0.2512706,-0.3950439,-0.003777345,-0.005181516,True,0,-0.1754553,0.3450119,-0.0009063518,-0.005052014,True,0,0.002324155,-0.2229783,-0.008783824,0.01213616,True,0,0,0,False,0,0,54.5
2,-0.1214877,-0.3716985,1,2,0.03781428,-0.4665664,0,2,4,4,0.1103407,-0.192856,-0.002320989,0.02255397,True,0,-0.2513485,-0.395143,-0.003896134,-0.004954381,True,0,-0.1754725,0.3449038,-0.0008549939,-0.005405749,True,0,0.002138622,-0.2226954,-0.009275349,0.01413999,True,1,0,0,False,0,0,54.52
2,0.09967202,-0.2263565,1,2,0.02558886,-0.4724099,0,2,4,4,0.1102924,-0.1924037,-0.002413008,0.02261761,True,0,-0.2514301,-0.3952384,-0.004079704,-0.004769108,True,0,-0.1754886,0.3447901,-0.0008052351,-0.005682732,True,0,0.001953619,-0.2224116,-0.009250297,0.01419164,True,0,0,0,False,0,0,54.54
2,0.3208317,-0.08101439,1,2,0.01378092,-0.4774004,0,2,4,4,0.1102649,-0.1918849,-0.001376243,0.02592898,True,1,-0.2515158,-0.3953316,-0.004284479,-0.004657156,True,0,-0.1755047,0.3446703,-0.0008034954,-0.005989925,True,0,0.001743393,-0.2221269,-0.01050835,0.01423679,True,1,0,0,False,0,0,54.56
2,-0.01166853,-0.297072,1,2,0.002399101,-0.4816049,0,2,4,4,0.110239,-0.1913682,-0.001294562,0.02584491,True,0,-0.2516044,-0.395421,-0.004432367,-0.004474125,True,0,-0.1755205,0.3445431,-0.0007906679,-0.006362074,True,0,0.001531607,-0.2218432,-0.010589,0.01418364,True,0,0,0,False,0,0,54.58
2,0.07039499,-0.241086,1,2,-0.00855172,-0.4850896,0,2,4,4,0.1102158,-0.190854,-0.00115962,0.02571377,True,0,-0.2516955,-0.3955086,-0.004552793,-0.004378605,True,0,-0.1755359,0.3444097,-0.0007725516,-0.006671124,True,0,0.001325529,-0.2215277,-0.01030509,0.01577039,True,1,0,0,False,0,0,54.6
2,0.1524585,-0.1850999,1,2,-0.0190703,-0.4879196,0,2,4,4,0.1102167,-0.1903097,3.777258E-05,0.02720931,True,1,-0.2517878,-0.3955952,-0.004614654,-0.004329897,True,0,-0.1755515,0.3442692,-0.0007795782,-0.007024443,True,0,0.001086261,-0.221203,-0.01195914,0.0162351,True,1,0,0,False,0,0,54.62
2,0.234522,-0.1291139,1,2,-0.0294949,-0.4901377,0,2,4,4,0.1101597,-0.1897727,-0.002843505,0.02685204,True,1,-0.2518813,-0.3956814,-0.004673764,-0.004307996,True,0,-0.1755663,0.3441223,-0.0007390815,-0.007346334,True,0,0.0008458309,-0.2208789,-0.01202597,0.0162102,True,0,0,0,False,0,0,54.64
2,-0.001969904,-0.2891737,1,2,-0.03964455,-0.4917991,0,2,4,4,0.1101035,-0.1892367,-0.002817698,0.02680225,True,0,-0.2519767,-0.3957669,-0.004772328,-0.004278442,True,0,-0.1755811,0.3439687,-0.0007390177,-0.007680969,True,0,0.0006050579,-0.2205565,-0.01203864,0.01611838,True,0,0,0,False,0,0,54.66
2,-0.2384618,-0.4492335,1,2,-0.04959096,-0.4929466,0,2,4,4,0.110048,-0.1887,-0.002773357,0.02683582,True,0,-0.252073,-0.395853,-0.004813673,-0.004302253,True,1,-0.1755947,0.3438079,-0.0006804109,-0.008037859,True,0,0.0003657639,-0.2201983,-0.0119655,0.01790848,True,1,0,0,False,0,0,54.68
2,0.1110283,-0.2102724,1,2,-0.05925286,-0.4936341,0,2,4,4,0.1099926,-0.1881614,-0.002770241,0.02693176,True,0,-0.2521804,-0.3958955,-0.005367495,-0.0021301,True,0,-0.175606,0.3436403,-0.000566713,-0.008380293,True,0,0.0001276936,-0.2198414,-0.01190363,0.01784663,True,0,0,0,False,0,0,54.7
2,0.02980915,-0.2658053,1,2,-0.06865072,-0.4939055,0,2,4,4,0.1099324,-0.1875197,-0.003011642,0.03207196,True,1,-0.2522866,-0.3959372,-0.00531399,-0.002081671,True,0,-0.1756143,0.3434669,-0.0004145454,-0.008668781,True,0,-0.0001324173,-0.2194865,-0.01300309,0.01774321,True,1,0,0,False,0,0,54.72
2,-0.05140996,-0.3213382,1,2,-0.07775299,-0.4938083,0,2,4,4,0.109888,-0.1868631,-0.002222016,0.03283005,True,1,-0.2523921,-0.3959773,-0.005271047,-0.002007641,True,0,-0.1756185,0.3432863,-0.0002090209,-0.009032322,True,0,-0.0004168134,-0.219094,-0.0142168,0.01962147,True,1,0,0,False,0,0,54.74
2,0.08241506,-0.2298365,1,2,-0.08656178,-0.4933843,0,2,4,4,0.1098422,-0.1862078,-0.002289709,0.03276162,True,0,-0.2524968,-0.396016,-0.005238831,-0.001931526,True,0,-0.1756193,0.3430983,-4.145202E-05,-0.009399433,True,0,-0.0006912164,-0.2186825,-0.01372522,0.0205763,True,1,0,0,False,0,0,54.76
2,0.039125,-0.2594357,1,2,-0.09506556,-0.4926755,0,2,4,4,0.109822,-0.1855121,-0.00101345,0.03478126,True,1,-0.2526017,-0.3960523,-0.005242057,-0.001814491,True,0,-0.1756166,0.3429013,0.0001349898,-0.009846516,True,0,-0.0009950064,-0.2182671,-0.01518585,0.02077093,True,1,0,0,False,0,0,54.78
2,-0.004165053,-0.2890349,1,2,-0.1032648,-0.4917195,0,2,4,4,0.1098185,-0.1847992,-0.0001794519,0.03564262,True,1,-0.252707,-0.3960853,-0.005264957,-0.001650791,True,0,-0.1756094,0.3426944,0.0003634502,-0.01034798,True,0,-0.001328472,-0.2178211,-0.01667414,0.02229767,True,1,0,0,False,0,0,54.8
2,0.06799448,-0.2396964,1,2,-0.1111578,-0.4905523,0,2,4,4,0.1098159,-0.184085,-0.0001298188,0.03571259,True,0,-0.2528138,-0.396116,-0.005339718,-0.001535941,True,0,-0.1755964,0.342478,0.0006512461,-0.0108213,True,0,-0.001660569,-0.2173405,-0.01660508,0.02402705,True,1,0,0,False,0,0,54.82
2,0.140154,-0.190358,1,2,-0.1187471,-0.4892066,0,2,4,4,0.1098347,-0.1833425,0.0009370011,0.03712087,True,1,-0.252921,-0.396144,-0.005356794,-0.00140131,True,0,-0.1755774,0.3422524,0.0009451459,-0.01128003,True,0,-0.002024809,-0.2168498,-0.01820794,0.0245349,True,1,0,0,False,0,0,54.84
2,0.02085377,-0.2719285,1,2,-0.1260359,-0.4877126,0,2,4,4,0.1097759,-0.1825824,-0.002930475,0.03800401,True,1,-0.25303,-0.3961703,-0.005453797,-0.001313223,True,0,-0.1755516,0.3420177,0.001292207,-0.01173324,True,0,-0.002389459,-0.2163601,-0.01823228,0.02448271,True,0,0,0,False,0,0,54.86
2,0.05978869,-0.2453071,1,2,-0.1330292,-0.4860974,0,2,4,4,0.109717,-0.181821,-0.002949041,0.03806729,True,0,-0.2531409,-0.3961943,-0.005543095,-0.001201883,True,0,-0.175518,0.3417752,0.001677852,-0.01212469,True,0,-0.002769865,-0.2158327,-0.01901833,0.02636728,True,1,0,0,False,0,0,54.88
2,0.09872361,-0.2186857,1,2,-0.1397332,-0.4843858,0,2,4,4,0.109677,-0.1810358,-0.002002875,0.03925837,True,1,-0.2532533,-0.3962166,-0.005620456,-0.001113063,True,0,-0.1754775,0.3415254,0.002026801,-0.01249114,True,0,-0.003182512,-0.2152903,-0.02062805,0.02711958,True,1,0,0,False,0,0,54.9
2,0.03376598,-0.2630999,1,2,-0.146155,-0.4825999,0,2,4,4,0.1096546,-0.1801903,-0.001123032,0.04227083,True,1,-0.2533691,-0.3962364,-0.005785736,-0.0009888755,True,0,-0.1754293,0.3412669,0.002411031,-0.01292783,True,0,-0.003619211,-0.2147473,-0.0218318,0.02715152,True,1,0,0,False,0,0,54.92
2,0.05546884,-0.2482607,1,2,-0.1523023,-0.4807596,0,2,4,4,0.109647,-0.1793289,-0.0003813259,0.04306738,True,1,-0.2534884,-0.3962534,-0.00596581,-0.0008526005,True,0,-0.1753746,0.341001,0.002732678,-0.01329294,True,0,-0.004080493,-0.2141724,-0.02306085,0.02874215,True,1,0,0,False,0,0,54.94
2,0.0771717,-0.2334216,1,2,-0.1581836,-0.4788822,0,2,4,4,0.1096568,-0.1784456,0.0004887872,0.04416211,True,1,-0.2536097,-0.3962671,-0.006064431,-0.0006824805,True,0,-0.1753122,0.3407277,0.003121526,-0.01366441,True,0,-0.004572887,-0.2135798,-0.02461567,0.02962703,True,1,0,0,False,0,0,54.96
