numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,-0.03526717,-0.3907211,1,2,0,0.45,0,2,4,4,0.4238934,-0.06654954,0,0,True,1,-0.08316886,0.1814683,0,0,True,0,0.1500149,0.2228342,0,0,True,0,0.5509378,-0.2322108,0,0,True,0,0,0,True,4,4,28.92
2,-0.03524418,-0.3907597,1,2,-0.008608878,0.4493662,0,2,4,4,0.4238934,-0.06654992,6.285374E-07,-8.159047E-05,True,0,-0.08316849,0.1814681,8.135902E-05,-3.486156E-05,True,0,0.1500147,0.2228344,-4.288437E-05,3.365618E-05,True,0,0.550939,-0.2322115,0.0002544446,-0.0001459581,True,0,0,0,False,0,4,28.94
2,-0.03525193,-0.3907467,1,2,-0.0271462,0.444281,0,2,4,4,0.4238933,-0.06655022,-7.761922E-05,-0.0002315874,True,0,-0.08316821,0.181468,0.0002249794,-0.0001139115,True,0,0.1500146,0.2228344,-7.702124E-05,1.838507E-05,True,0,0.5509398,-0.232212,0.0005759348,-0.0003547107,True,0,0,0,False,0,4,28.96
2,-0.03524932,-0.3907511,1,2,-0.05145691,0.4347938,0,2,4,4,0.4238921,-0.06655686,-8.510141E-05,-0.0004548427,True,0,-0.08316359,0.1814663,0.000317119,-0.0001154631,True,0,0.1500126,0.222834,-0.0001361565,-2.516931E-05,True,0,0.5509539,-0.2322196,0.0009572094,-0.0005263889,True,0,0,0,False,0,4,28.98
2,-0.0352502,-0.3907496,1,2,-0.07748199,0.4212655,0,2,4,4,0.423892,-0.06656369,-8.908259E-06,-0.0006077752,True,0,-0.08315827,0.1814654,0.0004748087,-7.884034E-05,True,0,0.1500099,0.222833,-0.0002395466,-9.296499E-05,True,0,0.5509694,-0.2322278,0.001385271,-0.0007229067,True,0,0,0,False,0,4,29
2,-0.0352499,-0.3907501,1,2,-0.1019879,0.4045845,0,2,4,4,0.423892,-0.0665703,-1.148874E-05,-0.0008392052,True,0,-0.08315346,0.1814653,0.0006114903,-1.463223E-05,True,0,0.1500072,0.2228323,-0.0003409338,-8.823296E-05,True,0,0.5509833,-0.2322349,0.001753921,-0.0008970238,True,0,0,0,False,0,4,29.02
2,-0.03525,-0.3907499,1,2,-0.1228942,0.3859884,0,2,4,4,0.4238919,-0.0665751,-2.129747E-05,-0.001007135,True,0,-0.08315027,0.1814657,0.0006719567,8.742217E-05,True,0,0.1500048,0.2228322,-0.0005126266,-2.950445E-05,True,0,0.5509937,-0.2322403,0.002190717,-0.001153666,True,0,0,0,False,0,4,29.04
2,-0.03524997,-0.39075,1,2,-0.1391884,0.3667634,0,2,4,4,0.4238923,-0.06660032,1.468184E-05,-0.00125934,True,0,-0.08313531,0.1814698,0.0007483285,0.0002015238,True,0,0.1499896,0.2228311,-0.0007607385,-5.53151E-05,True,0,0.5510471,-0.2322674,0.002669141,-0.001351497,True,0,0,0,False,0,4,29.06
2,-0.03524998,-0.39075,1,2,-0.1506545,0.3480112,0,2,4,4,0.4238928,-0.06663085,2.570665E-05,-0.001527116,True,0,-0.08311974,0.1814745,0.0007788588,0.0002384545,True,0,0.1499682,0.2228279,-0.001069941,-0.0001629679,True,0,0.5511113,-0.2322976,0.003206771,-0.001511184,True,0,0,0,False,0,4,29.08
2,-0.03524998,-0.39075,1,2,-0.1575874,0.3305297,0,2,4,4,0.4238927,-0.06666715,-2.318679E-06,-0.00181475,True,0,-0.08310382,0.1814815,0.0007959724,0.0003493238,True,0,0.1499392,0.2228238,-0.001450932,-0.0002028128,True,0,0.5511863,-0.2323302,0.003749299,-0.001629286,True,0,0,0,False,0,4,29.1
2,-0.03524998,-0.39075,1,2,-0.1605725,0.3147918,0,2,4,4,0.4238935,-0.06670755,3.788133E-05,-0.002020405,True,0,-0.0830889,0.1814916,0.0007456784,0.0005035331,True,0,0.1499038,0.2228184,-0.001766811,-0.0002709783,True,0,0.551271,-0.2323643,0.004235246,-0.001704293,True,0,0,0,False,0,4,29.12
2,-0.03524998,-0.39075,1,2,-0.1603257,0.3009821,0,2,4,4,0.4238954,-0.06675225,9.170373E-05,-0.002234599,True,0,-0.08307665,0.1815059,0.0006130538,0.0007154711,True,0,0.1498605,0.22281,-0.002167182,-0.0004193828,True,0,0.551364,-0.232399,0.004652003,-0.001737139,True,0,0,0,False,0,4,29.14
2,-0.03524998,-0.39075,1,2,-0.1575895,0.2890657,0,2,4,4,0.4238971,-0.06679957,8.60635E-05,-0.002366601,True,0,-0.08306544,0.1815232,0.0005607261,0.0008660622,True,0,0.1498096,0.2227999,-0.002543434,-0.0005079449,True,0,0.5514659,-0.2324336,0.005094018,-0.001729575,True,0,0,0,False,0,4,29.16
2,-0.03524998,-0.39075,1,2,-0.1530682,0.2788672,0,2,4,4,0.4238999,-0.06685037,0.0001393279,-0.002540091,True,0,-0.0830557,0.1815452,0.0004861887,0.001096037,True,2,0.1497518,0.2227877,-0.002889766,-0.000606564,True,0,0.5515777,-0.232468,0.005592683,-0.001718594,True,0,0,0,False,0,4,29.18
2,-0.03524998,-0.39075,1,2,-0.1473905,0.2701432,0,2,4,4,0.4239028,-0.06690512,0.0001478529,-0.002737473,True,0,-0.08303392,0.1815503,0.001087721,0.0002592612,True,2,0.1496866,0.222774,-0.003262186,-0.0006860099,True,0,0.5516993,-0.232501,0.006076196,-0.001647544,True,0,0,0,False,0,4,29.2
2,-0.03524998,-0.39075,1,2,-0.1410897,0.2626379,0,2,4,4,0.4239067,-0.06696508,0.000191803,-0.002997917,True,0,-0.08299892,0.1815372,0.001749504,-0.0006521578,True,2,0.1496139,0.2227573,-0.003633738,-0.0008369114,True,0,0.5518305,-0.2325329,0.006552506,-0.001599393,True,0,0,0,False,0,4,29.22
2,-0.03524998,-0.39075,1,2,-0.1345973,0.2561188,0,2,4,4,0.4239107,-0.06703037,0.0002029285,-0.003264385,True,0,-0.08294953,0.1815041,0.002469445,-0.001657902,True,2,0.1495349,0.2227369,-0.003951763,-0.001020051,True,0,0.5519693,-0.2325643,0.006944818,-0.001568358,True,0,0,0,False,0,4,29.24
2,-0.03524998,-0.39075,1,2,-0.1282452,0.2503932,0,2,4,4,0.4239164,-0.06710264,0.0002841175,-0.003613534,True,0,-0.08288468,0.1814485,0.00324276,-0.002775811,True,2,0.1494501,0.2227138,-0.004237225,-0.001150777,True,0,0.5521173,-0.2325966,0.007397654,-0.001615272,True,0,0,0,False,0,4,29.26
2,-0.04728506,-0.3867383,1,2,-0.1222742,0.2453125,0,2,4,4,0.4239254,-0.06718221,0.0004489016,-0.003978545,True,0,-0.08280341,0.1813681,0.004063579,-0.004024441,True,2,0.1493604,0.2226881,-0.004487338,-0.001286682,True,0,0.5522749,-0.2326282,0.007885538,-0.001579952,True,0,0,0,False,0,4,29.28
2,-0.05425899,-0.3840793,1,2,-0.1168455,0.2407671,0,2,4,4,0.4239361,-0.06727076,0.0005333715,-0.004426083,True,0,-0.08270492,0.1812596,0.004924513,-0.005420858,True,2,0.1492662,0.2226593,-0.004707902,-0.001440029,True,0,0.552443,-0.2326601,0.008394131,-0.001591883,True,0,0,0,False,0,4,29.3
2,-0.05993057,-0.3819673,1,2,-0.1120542,0.2366789,0,2,4,4,0.42395,-0.0673683,0.0006958743,-0.004876656,True,0,-0.08258858,0.18112,0.005817,-0.006979236,True,2,0.1491685,0.2226286,-0.004883978,-0.001533362,True,0,0.5526213,-0.2326919,0.008917503,-0.001591976,True,0,0,0,False,0,4,29.32
2,-0.06002343,-0.3816767,1,2,-0.1079413,0.2329923,0,2,4,4,0.4239655,-0.06747502,0.0007736251,-0.00533615,True,0,-0.08245379,0.1809457,0.006737399,-0.008712023,True,2,0.1490681,0.2225949,-0.005021405,-0.001686558,True,0,0.5528109,-0.2327246,0.009483744,-0.001635497,True,0,0,0,False,0,4,29.34
2,-0.06099509,-0.3807717,1,2,-0.1045066,0.229667,0,2,4,4,0.4239825,-0.06759223,0.0008508388,-0.005859844,True,0,-0.08230038,0.1807333,0.007670631,-0.01062145,True,2,0.1489642,0.2225591,-0.005195144,-0.001791423,True,0,0.5530124,-0.2327588,0.01007561,-0.001710029,True,0,0,0,False,0,4,29.36
2,-0.06066731,-0.381077,1,2,-0.1017185,0.2266725,0,2,4,4,0.4240027,-0.06771957,0.00101212,-0.006367849,True,0,-0.08212809,0.1804791,0.008614887,-0.01270787,True,2,0.1488579,0.2225227,-0.005316221,-0.001819428,True,0,0.5532251,-0.2327957,0.01063008,-0.001841661,True,0,0,0,False,0,4,29.38
2,-0.06077788,-0.380974,1,2,-0.0995238,0.2239844,0,2,4,4,0.4240264,-0.06785671,0.001182599,-0.00685708,True,0,-0.08193651,0.1801796,0.009576969,-0.01497181,True,2,0.1487485,0.2224841,-0.005471477,-0.001932185,True,0,0.5534485,-0.2328363,0.01117019,-0.002030024,True,0,0,0,False,0,4,29.4
