numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,-0.02251114,-0.4259881,1,1,0,0.45,0,4,4,4,0.5384423,0.03326067,0,0,True,0,0.5459534,-0.1983259,0,0,True,0,0.1198599,0.3969459,0,0,True,0,0.5062101,0.2044884,0,0,True,12,0,0,False,0,2,17.56
2,-0.02249624,-0.426004,1,1,0.01188423,0.4488324,0,1,4,4,0.5384389,0.03326213,-0.0002347881,9.929279E-05,True,0,0.5459551,-0.1983301,0.0001068018,-0.0002865908,True,0,0.1198594,0.3969466,-3.709149E-05,5.111743E-05,True,2,0.5062099,0.2044892,-1.787906E-05,5.892424E-05,True,0,0,0,False,0,2,17.58
2,-0.02250127,-0.4259986,1,1,0.06445102,0.4457706,0,1,4,4,0.538433,0.03326468,-0.0005246756,0.0002259011,True,0,0.5459569,-0.1983368,0.0001562767,-0.0005910365,True,0,0.1198695,0.3969421,0.0008921516,-0.0003955597,True,2,0.5062093,0.2044907,-5.246011E-05,0.0001258019,True,0,0,0,False,0,2,17.6
2,-0.02249957,-0.4260004,1,1,0.1395918,0.4317247,0,1,4,4,0.5384269,0.03326687,-0.0007707985,0.0002744712,True,0,0.5459582,-0.1983436,0.000168444,-0.0008510161,True,0,0.1198866,0.3969302,0.002145924,-0.001500525,True,2,0.506209,0.2044921,-3.296919E-05,0.0001749665,True,0,0,0,False,0,2,17.62
2,-0.02149716,-0.4259998,1,1,0.2141173,0.4054551,0,1,4,4,0.5384223,0.03326846,-0.0009947404,0.0003428025,True,0,0.545959,-0.1983491,0.0001708498,-0.001191396,True,0,0.1198895,0.3969107,0.0006225113,-0.004186685,True,2,0.506209,0.2044933,6.489652E-06,0.0002691278,True,0,0,0,False,0,2,17.64
2,-0.02183531,-0.423994,1,1,0.2796343,0.3707564,0,1,4,4,0.5384207,0.03326905,-0.001242089,0.000461536,True,0,0.5459591,-0.1983511,9.46192E-05,-0.001523416,True,0,0.1198886,0.3969052,-0.000676637,-0.004301742,True,0,0.506209,0.2044939,9.740565E-06,0.0004097219,True,0,0,0,False,0,2,17.66
2,-0.02372698,-0.4086245,1,1,0.3350868,0.33101,0,1,4,4,0.5383908,0.0332807,-0.001493977,0.0005823242,True,0,0.5459585,-0.1983871,-3.393405E-05,-0.001799027,True,0,0.1198737,0.3968198,-0.0007461361,-0.004273986,True,0,0.5062105,0.2045045,7.258124E-05,0.0005311625,True,0,0,0,False,0,2,17.68
2,-0.02810374,-0.3967572,1,1,0.3805707,0.2894141,0,1,4,4,0.538355,0.03329618,-0.001789865,0.0007733324,True,0,0.5459541,-0.1984291,-0.0002185635,-0.002103367,True,0,0.1198583,0.3967348,-0.0007701715,-0.004247268,True,0,0.5062137,0.2045182,0.0001574066,0.0006850684,True,0,0,0,False,0,2,17.7
2,-0.03565361,-0.3817047,1,1,0.4169196,0.2487266,0,1,4,4,0.5383129,0.03331668,-0.002111153,0.001025011,True,0,0.5459474,-0.1984769,-0.0003337113,-0.002390894,True,0,0.119843,0.3966518,-0.0007663758,-0.004151198,True,0,0.5062194,0.2045346,0.0002887372,0.0008217294,True,0,0,0,False,0,2,17.72
2,-0.04815048,-0.3667231,1,1,0.4454358,0.2110525,0,1,4,4,0.5382649,0.0333412,-0.002392588,0.001226307,True,0,0.545937,-0.1985307,-0.0005228199,-0.002685039,True,0,0.1198274,0.39657,-0.0007799069,-0.004088352,True,0,0.5062475,0.20454,0.001399389,0.0002716527,True,2,0,0,False,0,2,17.74
