numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,-0.1139236,-0.1597109,1,4,0.1621689,0.4127459,0,4,4,4,0.03149695,0.3869012,0.001161673,-0.02717302,True,2,-0.2743503,0.1908027,-0.0008875211,0.001331843,True,0,0.1169911,0.1929815,-0.0002415656,0.0009237964,True,0,0.4094896,0.274663,0.001685716,0.001490944,True,0,0,0,False,0,0,5.88
2,-0.1170347,-0.1647781,1,4,0.2120907,0.3938868,0,4,4,4,0.03151865,0.386358,0.001085495,-0.02716322,True,0,-0.2743686,0.190834,-0.0009164064,0.001566579,True,0,0.116988,0.1930026,-0.0001547736,0.001051595,True,0,0.4095252,0.2746962,0.001785865,0.001658143,True,0,0,0,False,0,0,5.9
2,-0.1189942,-0.1771099,1,4,0.2569323,0.3717297,0,4,4,4,0.03153762,0.3858154,0.0009489633,-0.02713015,True,0,-0.2743892,0.190871,-0.001026201,0.001845223,True,0,0.1169882,0.1930273,9.05685E-06,0.001236996,True,0,0.4095626,0.2747343,0.001865122,0.001909202,True,0,0,0,False,0,0,5.92
2,-0.1223451,-0.1879952,1,4,0.2952691,0.3485752,0,4,4,4,0.03155435,0.3852722,0.0008369138,-0.02716484,True,0,-0.2744116,0.1909137,-0.001123497,0.002136409,True,0,0.1169922,0.1930547,0.0002012766,0.001368203,True,0,0.409603,0.2747784,0.002020124,0.002205514,True,0,0,0,False,0,0,5.94
2,-0.1242239,-0.1943538,1,4,0.3269919,0.3263923,0,4,4,4,0.03156799,0.3847268,0.0006829521,-0.02726968,True,0,-0.2744358,0.1909612,-0.001210749,0.002374716,True,0,0.117,0.193085,0.0003913537,0.001514709,True,0,0.4096481,0.2748271,0.002255192,0.002434063,True,0,0,0,False,0,0,5.96
2,-0.1276019,-0.2062501,1,4,0.3526019,0.3066671,0,4,4,4,0.03157831,0.3841791,0.0005160816,-0.02738565,True,0,-0.2744615,0.1910123,-0.001283144,0.002558137,True,0,0.1170122,0.1931187,0.0006104026,0.001688272,True,0,0.4097147,0.2748623,0.003329867,0.001761994,True,2,0,0,False,0,0,5.98
2,-0.1274656,-0.207253,1,4,0.3728692,0.2903496,0,4,4,4,0.03158588,0.3836311,0.000379603,-0.02740216,True,0,-0.2744875,0.1910656,-0.00129912,0.002663368,True,0,0.1170298,0.1931566,0.0008762571,0.001892913,True,0,0.4098143,0.2748792,0.004977732,0.0008429111,True,2,0,0,False,0,0,6
2,-0.1295175,-0.2119296,1,4,0.3886427,0.2778651,0,4,4,4,0.0315916,0.3830808,0.0002859861,-0.02751466,True,0,-0.2745149,0.1911198,-0.001370415,0.002710611,True,0,0.1170516,0.1931984,0.001090971,0.002093059,True,0,0.4099709,0.2748722,0.007821385,-0.0003467487,True,2,0,0,False,0,0,6.02
2,-0.1308314,-0.215367,1,4,0.4007406,0.2691868,0,4,4,4,0.03159449,0.3825273,0.0001454299,-0.0276788,True,0,-0.274544,0.1911756,-0.00145485,0.002789719,True,0,0.1170767,0.1932442,0.001258031,0.002289158,True,0,0.4102292,0.274851,0.01291061,-0.001060898,True,2,0,0,False,0,0,6.04
2,-0.1323942,-0.2192225,1,4,0.4098967,0.2639499,0,4,4,4,0.03159469,0.3819688,1.011304E-05,-0.02792265,True,0,-0.2745765,0.1912327,-0.001623529,0.002852507,True,0,0.1171052,0.1932943,0.001425156,0.002502585,True,0,0.4105756,0.2748827,0.01731775,0.001576868,True,2,0,0,False,0,0,6.06
2,-0.135879,-0.2229369,1,4,0.4167423,0.2615843,0,4,4,4,0.03159161,0.3814065,-0.0001533317,-0.02811697,True,0,-0.274612,0.1912916,-0.00177342,0.002947996,True,0,0.1171364,0.1933493,0.001558172,0.002749125,True,0,0.4109283,0.2750172,0.01763562,0.006711188,True,2,0,0,False,0,0,6.08
2,-0.1377125,-0.2236899,1,4,0.421805,0.2614433,0,4,4,4,0.03158497,0.3808405,-0.0003312493,-0.02830137,True,0,-0.2746491,0.1913518,-0.001853206,0.003006619,True,0,0.1171719,0.1934085,0.001776209,0.002964102,True,0,0.4112398,0.2752456,0.0155832,0.01142428,True,2,0,0,False,0,0,6.1
2,-0.1441149,-0.2234359,1,4,0.4255145,0.2629028,0,4,4,4,0.0315749,0.3802714,-0.0005032101,-0.02845603,True,0,-0.2746865,0.1914119,-0.001875113,0.003007432,True,0,0.1172113,0.1934717,0.001969628,0.003159455,True,0,0.4114889,0.275556,0.01245552,0.01550834,True,2,0,0,False,0,0,6.12
2,-0.160007,-0.2175045,1,4,0.428215,0.2654186,0,4,4,4,0.03156128,0.3797008,-0.0006808609,-0.02853254,True,0,-0.2747242,0.1914716,-0.001880344,0.002986515,True,0,0.1172559,0.1935373,0.002228114,0.003275736,True,0,0.4116614,0.2759349,0.008631254,0.01894402,True,2,0,0,False,0,0,6.14
2,-0.1857291,-0.2004556,1,4,0.4301772,0.2685509,0,4,4,4,0.03154312,0.3791302,-0.000907573,-0.02852913,True,0,-0.2747602,0.1915304,-0.00180137,0.002939167,True,0,0.1173059,0.193605,0.002501084,0.003386463,True,0,0.4117471,0.276369,0.004289663,0.02169984,True,2,0,0,False,0,0,6.16
2,-0.2767582,-0.130437,1,4,0.4316099,0.2719653,0,4,4,4,0.03152192,0.3785581,-0.001059773,-0.02860964,True,0,-0.2747957,0.191588,-0.001774875,0.002882151,True,0,0.1173604,0.1936746,0.002722938,0.003483047,True,0,0.411738,0.2768429,-0.0004482128,0.02369569,True,2,0,0,False,0,0,6.18
2,-0.3008048,-0.1054613,1,4,0.4326703,0.2754218,0,4,4,4,0.0314975,0.3779848,-0.001220774,-0.02866264,True,0,-0.2748296,0.1916443,-0.001696687,0.002810489,True,0,0.1174199,0.1937475,0.002972566,0.003640751,True,0,0.4116291,0.2773414,-0.00544011,0.02491977,True,2,0,0,False,0,0,6.2
2,-0.3497615,-0.05681662,1,4,0.4334734,0.2787588,0,4,4,4,0.03147136,0.3774114,-0.001306955,-0.02867195,True,0,-0.2748623,0.1916977,-0.00163793,0.002674043,True,0,0.117483,0.1938218,0.003156429,0.003717946,True,0,0.4114178,0.2778487,-0.01056195,0.02537015,True,2,0,0,False,0,0,6.22
2,-0.381468,-0.01799368,1,4,0.4340998,0.2818757,0,4,4,4,0.03144459,0.3768368,-0.001338683,-0.02872927,True,0,-0.2748939,0.1917472,-0.001574079,0.002472429,True,0,0.1175514,0.1938978,0.003422385,0.003797495,True,0,0.4111037,0.2783519,-0.01569459,0.02515956,True,2,0,0,False,0,0,6.24
2,-0.4038925,0.01607148,1,4,0.4346033,0.2847182,0,4,4,4,0.03141805,0.376261,-0.001326949,-0.02879109,True,0,-0.2749233,0.1917932,-0.001470431,0.002300618,True,0,0.1176256,0.1939741,0.003710482,0.003818453,True,0,0.410688,0.2788393,-0.02077359,0.02437303,True,2,0,0,False,0,0,6.26
2,-0.4273744,0.08665848,1,4,0.4350173,0.2872646,0,4,4,4,0.0313931,0.3756842,-0.001247995,-0.02884095,True,0,-0.2749491,0.1918356,-0.001290875,0.00211948,True,0,0.117705,0.1940503,0.003965178,0.003809982,True,0,0.4101751,0.2793027,-0.02563439,0.0231695,True,2,0,0,False,0,0,6.28
2,-0.422528,0.1021582,1,4,0.43536,0.2895163,0,4,4,4,0.03137048,0.3751048,-0.001131669,-0.02896801,True,0,-0.2749729,0.1918734,-0.001187782,0.001890478,True,0,0.1177887,0.1941279,0.004185273,0.003879285,True,0,0.4095722,0.279737,-0.03013259,0.02171857,True,2,0,0,False,0,0,6.3
2,-0.4231589,0.1340265,1,4,0.4356388,0.2914892,0,3,4,4,0.03135012,0.3745235,-0.001017939,-0.02907063,True,0,-0.2749935,0.1919082,-0.00103363,0.001739284,True,0,0.1178784,0.1942075,0.004484809,0.003977192,True,0,0.4088859,0.2801394,-0.03430815,0.02012539,True,2,0,0,False,0,0,6.32
2,-0.4159271,0.1543806,1,4,0.4236506,0.302325,0,3,4,4,0.03133095,0.3739393,-0.0009590429,-0.02920895,True,0,-0.2750108,0.1919397,-0.0008634173,0.001574786,True,0,0.117974,0.1942893,0.004781452,0.004092314,True,0,0.4081216,0.2805085,-0.03820811,0.01846082,True,2,0,0,False,0,0,6.34
2,-0.4093388,0.1685805,1,4,0.4033056,0.3167438,0,3,4,4,0.03131256,0.3733533,-0.0009198216,-0.029302,True,0,-0.2750233,0.1919669,-0.0006240768,0.001358939,True,0,0.1180744,0.1943723,0.005021479,0.004147325,True,0,0.4073041,0.2808023,-0.04086934,0.01469915,True,2,0,0,False,0,0,6.36
2,-0.3925116,0.1948723,1,4,0.3778681,0.3307419,0,3,4,4,0.03129414,0.3727643,-0.0009210776,-0.02945035,True,0,-0.2750314,0.1919903,-0.0004074018,0.001172002,True,1,0.1181803,0.1944578,0.005293736,0.004274849,True,0,0.4064946,0.2810282,-0.04047832,0.01130309,True,2,0,0,False,0,0,6.38
2,-0.3911588,0.1940401,1,4,0.3499721,0.3419851,0,3,4,4,0.03127438,0.3721723,-0.0009879114,-0.02960075,True,0,-0.2750185,0.1920133,0.0006431236,0.001146095,True,1,0.1182913,0.1945464,0.005548731,0.004433666,True,0,0.4057069,0.2812169,-0.03939256,0.009436202,True,2,0,0,False,0,0,6.4
2,-0.3866002,0.1993357,1,4,0.3216213,0.349481,0,3,4,4,0.03125255,0.3715769,-0.001091388,-0.02976868,True,0,-0.2749844,0.1920358,0.001704841,0.001127182,True,1,0.1184087,0.1946397,0.005871773,0.004662857,True,0,0.4049396,0.2813835,-0.03836957,0.008330834,True,2,0,0,False,0,0,6.42
2,-0.3831229,0.2015614,1,4,0.2942616,0.3530844,0,3,4,4,0.03122849,0.370977,-0.001202896,-0.02999889,True,0,-0.2749283,0.1920569,0.002805495,0.001054849,True,1,0.118533,0.1947367,0.006214534,0.004851419,True,0,0.4041903,0.2815355,-0.03747055,0.007602809,True,2,0,0,False,0,0,6.44
2,-0.3842959,0.2018136,1,4,0.2688766,0.3531148,0,3,4,4,0.03120211,0.3703727,-0.00131928,-0.0302154,True,0,-0.2748495,0.192076,0.003936719,0.0009550258,True,1,0.1186632,0.1948368,0.006506206,0.005000835,True,0,0.4034404,0.2816873,-0.03749579,0.007592638,True,0,0,0,False,0,0,6.46
2,-0.3839002,0.2017285,1,4,0.246074,0.350113,0,3,4,4,0.0311747,0.3697654,-0.001370449,-0.03036282,True,0,-0.2747484,0.1920931,0.005054589,0.0008550613,True,1,0.1187992,0.1949404,0.006799837,0.005184034,True,0,0.4026892,0.2818396,-0.03756185,0.007611127,True,0,0,0,False,0,0,6.48
2,-0.3840337,0.2017572,1,4,0.2261603,0.3446948,0,3,4,4,0.03114579,0.3691555,-0.001445199,-0.03049642,True,0,-0.2746249,0.1921082,0.006175043,0.0007552207,True,1,0.1189398,0.1950475,0.007031767,0.005353283,True,0,0.4019379,0.2819905,-0.03756723,0.00754396,True,0,0,0,False,0,0,6.5
2,-0.3839886,0.2017475,1,4,0.2092067,0.3374677,0,3,4,4,0.0311154,0.3685427,-0.001519794,-0.03064183,True,0,-0.2744791,0.1921213,0.00729237,0.0006555068,True,1,0.1190837,0.1951582,0.007195259,0.005533649,True,0,0.4011878,0.2821414,-0.03750702,0.007544335,True,0,0,0,False,0,0,6.52
2,-0.3840038,0.2017508,1,4,0.1951082,0.3289851,0,3,4,4,0.03108471,0.3679253,-0.001534511,-0.03086891,True,0,-0.2743109,0.1921325,0.008408426,0.0005585537,True,1,0.11923,0.1952741,0.007313419,0.005793551,True,0,0.4004396,0.2822936,-0.03741383,0.007609031,True,0,0,0,False,0,0,6.54
2,-0.3839987,0.2017497,1,4,0.1836362,0.3197259,0,3,4,4,0.03105499,0.3673046,-0.001486018,-0.03103701,True,0,-0.2741205,0.1921417,0.00952202,0.0004593837,True,1,0.1193784,0.1953947,0.007421913,0.006032975,True,0,0.3996937,0.2824464,-0.03729921,0.007639112,True,0,0,0,False,0,0,6.56
2,-0.3819945,0.2017501,1,4,0.1744843,0.3100894,0,3,4,4,0.03102541,0.3666821,-0.001479257,-0.031122,True,0,-0.2739078,0.1921489,0.01063301,0.0003606669,True,1,0.1195283,0.1955196,0.007492895,0.006245248,True,0,0.39895,0.2826005,-0.03719036,0.007705385,True,0,0,0,False,0,0,6.58
2,-0.3796615,0.20175,1,4,0.1673084,0.3003989,0,3,4,4,0.03099647,0.3660585,-0.00144723,-0.031181,True,0,-0.2736725,0.1921541,0.01176454,0.0002620906,True,1,0.1196781,0.1956494,0.007489246,0.006488953,True,2,0.3982075,0.2827564,-0.03712801,0.007794383,True,0,0,0,False,0,0,6.6
2,-0.3754335,0.20175,1,4,0.1617581,0.2909101,0,4,4,4,0.03096781,0.365434,-0.001433496,-0.03122968,True,0,-0.2734142,0.1921572,0.01291517,0.0001559429,True,1,0.1198189,0.1957595,0.007042613,0.005509031,True,2,0.3974659,0.2829141,-0.03707948,0.007880688,True,0,0,0,False,0,0,6.62
2,-0.3668301,0.20175,1,4,0.1672127,0.2816023,0,4,4,4,0.03094029,0.3648073,-0.001375966,-0.03133342,True,0,-0.273132,0.192158,0.01410785,4.163475E-05,True,1,0.1199502,0.195848,0.006561756,0.004421331,True,2,0.3967263,0.2830718,-0.03698649,0.007886602,True,0,0,0,False,0,0,6.64
