part_id,agent_type,block,trial_no,q1,q2,q3,q4,q5,q6
101,DMP,1.0,5,5.0,5.0,6.0,7.0,5.0,0.0
101,DMP,2.0,15,7.0,6.0,6.0,6.0,6.0,1.0
101,RL,1.0,9,2.0,2.0,2.0,5.0,1.0,0.0
101,RL,2.0,13,2.0,3.0,2.0,3.0,1.0,0.0
101,RL_HP,1.0,7,6.0,6.0,5.0,6.0,5.0,0.0
101,RL_HP,2.0,11,3.0,4.0,2.0,4.0,2.0,0.0
102,DMP,1.0,5,7.0,6.0,6.0,3.0,6.0,1.0
102,DMP,2.0,11,7.0,6.0,7.0,5.0,5.0,0.0
102,RL,1.0,7,5.0,6.0,6.0,7.0,7.0,1.0
102,RL,2.0,15,7.0,7.0,7.0,7.0,7.0,1.0
102,RL_HP,1.0,9,7.0,7.0,7.0,7.0,6.0,1.0
102,RL_HP,2.0,13,6.0,7.0,6.0,5.0,6.0,1.0
103,DMP,1.0,5,7.0,4.0,2.0,1.0,4.0,1.0
103,DMP,2.0,11,3.0,3.0,7.0,7.0,1.0,0.0
103,RL,1.0,9,2.0,2.0,7.0,7.0,2.0,0.0
103,RL,2.0,13,2.0,1.0,7.0,7.0,1.0,0.0
103,RL_HP,1.0,7,7.0,4.0,5.0,2.0,4.0,0.0
103,RL_HP,2.0,15,1.0,1.0,7.0,7.0,1.0,0.0
104,DMP,1.0,7,6.0,7.0,4.0,7.0,4.0,
104,DMP,2.0,13,4.0,5.0,5.0,5.0,5.0,
104,RL,1.0,9,1.0,1.0,2.0,2.0,2.0,
104,RL,2.0,11,4.0,5.0,4.0,1.0,1.0,0.0
104,RL_HP,1.0,5,6.0,5.0,3.0,3.0,4.0,1.0
104,RL_HP,2.0,15,5.0,5.0,6.0,4.0,5.0,1.0
105,DMP,1.0,9,3.0,6.0,3.0,6.0,4.0,0.0
105,DMP,2.0,11,4.0,6.0,6.0,6.0,5.0,1.0
105,RL,1.0,5,2.0,3.0,5.0,6.0,5.0,0.0
105,RL,2.0,15,5.0,6.0,4.0,5.0,7.0,1.0
105,RL_HP,1.0,7,4.0,6.0,5.0,5.0,4.0,0.0
